title,company,location,posted_time,description,link
Data Scientist,"VED Software Services, Inc.","Jersey City, NJ",4 days ago,Responsibilities: Work with business analysts and technology developers to analyze automation use cases for opportunities to leverage...,https://www.dice.com/jobs/detail/Data-Scientist-VED-Software-Services%2C-Inc.-Jersey-City-NJ-27701/vedmi001/fulltime
Data Scientist,Hudson Data LLC,"Nyc, NY",18 hours ago,"Job Title: Data Scientist (Investment Banking ) Location: NYC, NY Duration: Long Term Contact Description: Minimum required...",https://www.dice.com/jobs/detail/Data-Scientist-Hudson-Data-LLC-Nyc-NY-10001/10202585/6332361
Data Scientist,"ReqRoute, Inc","Nyc, NY",3 days ago,"Hi, I am looking for Data Scientist @ NYC,NY location.If you are interested please send me your resume to (ashish@reqroute.com).Thank",https://www.dice.com/jobs/detail/Data-Scientist-ReqRoute%2C-Inc-Nyc-NY-10001/10349715/6056557
Data Scientist,Adept Scripts,"New York, NY",1 week ago,"Position : Data Scientist Location : NYC. NY Long Term Use statistical analysis, machine learning, pattern recognition, and data...",https://www.dice.com/jobs/detail/Data-Scientist-Adept-Scripts-New-York-NY-10001/91099356/6342206
Data Scientists,Intellibee Inc,"New York, NY",4 days ago,"Required Skills and experience: Experience with big data environments like Hadoop, Spark, preferably on a cloud platform Experience in...",https://www.dice.com/jobs/detail/Data-Scientists-Intellibee-Inc-New-York-NY-10001/91093006/6337788
Data Scientist,Impetus Systems and Careers,"New York, NY",16 minutes ago,"Hi, Greetings of the Day!!! Looking for Data Scientist for below requirement. Job Title: Data Scientist with SQL, Python, R,",https://www.dice.com/jobs/detail/Data-Scientist-Impetus-Systems-and-Careers-New-York-NY-10001/91089107/TP%26%2345%26%23321261%26%2345262
Data Scientist,Robert Half Technology,"New York, NY",7 hours ago,"Description Robert Half Technology has a job for you, if you are passionate about technological systems, work well with others",https://www.dice.com/jobs/detail/Data-Scientist-Robert-Half-Technology-New-York-NY-10119/rhalfint/02940%26%23450011301866
Data Scientist,InfoPeople Corp,"Jericho, NY",2 weeks ago,"InfoPeople Corporation is currently seeking a Data Scientist with our direct client in their NYC , NY location. This is",https://www.dice.com/jobs/detail/Data-Scientist-InfoPeople-Corp-Jericho-NY-11753/10186340/6317468
Data Scientist - Professional...,Bank Of America,"Jersey City, NJ",12 hours ago,"Job Description: Responsible for developing, modifying and/or maintaining applications in the Global Markets environment. Software...",https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Professional-Markets-Manager-%26%2345-Jersey-City%2C-NJ-Bank-Of-America-Jersey-City-NJ-07302/10118499/19079586
Data Scientist / Data Analyst,iTech Solutions,"Greenwich, CT",moments ago,Data Scientist / Data Analyst - 100% Full Healthcare ! This position provides an exciting opportunity to join a global,https://www.dice.com/jobs/detail/Data-Scientist-%26%2347-Data-Analyst-iTech-Solutions-Greenwich-CT-06830/10111560/19%26%234501516
Data Scientist / NLP - Fulltime...,Blue Rock Consulting,"Florham Park, NJ",1 week ago,"As a Data Scientist, you will be responsible for developing machine learning models to support product features in the roadmap.",https://www.dice.com/jobs/detail/Data-Scientist-%26%2347-NLP-%26%2345-Fulltime-%28NJ%29-Blue-Rock-Consulting-Florham-Park-NJ-07495/91012318/661796
SAS Data Scientist - Need GC and...,Infinity Tech Group Inc,"Jericho, NY",4 weeks ago,"Hi, Hope you are doing great. Please find the requirement below and let me know if you are interested. Role:",https://www.dice.com/jobs/detail/SAS-Data-Scientist-%26%2345-Need-GC-and-USC-Infinity-Tech-Group-Inc-Jericho-NY-11753/infnj003/SAI%26%2332SAS%26%2332DS
Data Scientist with SAS Exp,Infinity Tech Group Inc,"Jericho, NY",18 hours ago,PCH s Analytical Science team is looking for strong Data Scientists who will be primarily responsible for retraining various...,https://www.dice.com/jobs/detail/Data-Scientist-with-SAS-Exp-Infinity-Tech-Group-Inc-Jericho-NY-11753/infnj003/Ram38
Data Scientist - NLP - Remote !!,Microexcel,"New York, NY",1 week ago,Our Direct Client is looking for a Data Scientist with strong NLP exp Good experience in Modelling for F1 Optimization,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-NLP-%26%2345-Remote-%21%21-Microexcel-New-York-NY-10001/10206078/gs_saphana
Lead Java Backend engineer- work...,Cypress Group,"New York, NY",7 days ago,Software company in midtown is actively looking for Lead Core Java Backend Engineer to help build out their high volume,https://www.dice.com/jobs/detail/Lead-Java-Backend-engineer%26%2345-work-with-data-scientists%26%2347machine-learning-engineers-Cypress-Group-New-York-NY-10001/10121728/6256812
Data Modeler (Jaspersoft Expert),"Genuent Global, LLC","New York, NY",moments ago,"Power BI Consultant Genuent is hiring a Data Scientist/Power BI for our direct client in New York, NY area. This",https://www.dice.com/jobs/detail/Data-Modeler-%28Jaspersoft-Expert%29-Genuent-Global%2C-LLC-New-York-NY-10286/10228513/19%26%234506572
Sr Data Analyst,iTech Solutions,"Purchase, NY",moments ago,"Sr. Data Analyst We are seeking a Sr. Data Analyst to join our Information Technology team in our Purchase, NY",https://www.dice.com/jobs/detail/Sr-Data-Analyst-iTech-Solutions-Purchase-NY-10577/10111560/19%26%234501865
Data Analyst - GRC,"Genuent Global, LLC","New York, NY",moments ago,"Data Analyst (Governance) - 4+ months project - New York, NY. Duties: Requirements Elicitation, Gathering, Clarification, and...",https://www.dice.com/jobs/detail/Data-Analyst-%26%2345-GRC-Genuent-Global%2C-LLC-New-York-NY-10020/10228513/19%26%234506622
Pharmacovigilance Scientist -...,"Apex Systems, Inc","Summit, NJ",11 hours ago,"Job Description Job #: 1016485 The primary role of the Pharmacovigilance Scientist,Aggregate Safety Reporting (ASR), is to provide...",https://www.dice.com/jobs/detail/Pharmacovigilance-Scientist-%26%2345-Aggregate-Safety-Reporting-Apex-Systems%2C-Inc-Summit-NJ-07901/apexsan/1016485
QC Associate Scientist - flow...,"Apex Systems, Inc","Summit, NJ",11 hours ago,"Job Description Job #: 1033871 Apex Systems is seeking a QC Associate Scientist in Summit, NJ! This is a full-time",https://www.dice.com/jobs/detail/QC-Associate-Scientist-%26%2345-flow-cytometry-Apex-Systems%2C-Inc-Summit-NJ-07901/apexsan/1033871
QC Associate Scientist - flow...,"Apex Systems, Inc","New Providence, NJ",11 hours ago,"Job Description Job #: 1035444 QC Associate Scientist (cGMP, Flow Cytometry) Summary: Entry-, to Mid-level candidates with strong...",https://www.dice.com/jobs/detail/QC-Associate-Scientist-%26%2345-flow-cytometry-Apex-Systems%2C-Inc-New-Providence-NJ-07974/apexsan/1035444
Bioinformatics Engineer II /...,Memorial Sloan Kettering Cancer Center,"New York, NY",10 hours ago,"Company Overview At Memorial Sloan Kettering (MSK), we're not only changing the way we treat cancer, but also the way",https://www.dice.com/jobs/detail/Bioinformatics-Engineer-II-%26%2347-Computational-Research-Scientist-%28Genomics%29-Memorial-Sloan-Kettering-Cancer-Center-New-York-NY-10001/10118869/2019%26%234537072
Lab Scientist,"Stefanini, Inc.","East Hanover, NJ",moments ago,"Stefanini is currently looking for a Lab Scientist in East Hanover, NJ 07936. If you re the competitive type and",https://www.dice.com/jobs/detail/Lab-Scientist-Stefanini%2C-Inc.-East-Hanover-NJ-07936/10106616/33392
Specifications Scientist,"Stefanini, Inc.","East Hanover, NJ",moments ago,"Stefanini is currently looking for a Specifications Scientist in East Hanover, NJ 07936. If you re the competitive type and",https://www.dice.com/jobs/detail/Specifications-Scientist-Stefanini%2C-Inc.-East-Hanover-NJ-07936/10106616/33499
"Director of Data Science, Analytics",Harvey Nash Inc.,"New York, NY",11 hours ago,Management Responsibilities Meet with business stakeholders to flush out use cases and key requirements Collaborate with data &...,https://www.dice.com/jobs/detail/Director-of-Data-Science%2C-Analytics-Harvey-Nash-Inc.-New-York-NY-10022/esi/1307%26%23451
DATA ENGINEER - SALES AND...,"RCM Technologies, Inc","Parsippany, NJ",12 hours ago,Job Description Our client is a major Pharmaceutical company looking to bring aboard talent. This position for a Data Engineer,https://www.dice.com/jobs/detail/DATA-ENGINEER-%26%2345-SALES-AND-MARKETING-DATA-SPECIALIST-RCM-Technologies%2C-Inc-Parsippany-NJ-07054/cxrcmfa/19%26%234500990
Data Engineer,Willis Towers Watson,"New York, NY",46 minutes ago,Innovisk is a global underwriting platform with a strategy of growth and diversification. We are building market leading underwriting...,https://www.dice.com/jobs/detail/Data-Engineer-Willis-Towers-Watson-New-York-NY-10006/RTX112172/190005K7
Data Product Manager,The Rockefeller Foundation,"New York, NY",1 week ago,The Rockefeller Foundation s mission unchanged since 1913 is to promote the well-being of humanity throughout the world. Together with,https://www.dice.com/jobs/detail/Data-Product-Manager-The-Rockefeller-Foundation-New-York-NY-10018/RTX1d6d42/6343379
Practice Director - Master Data...,Search BI,"New York, NY",1 month ago,Master Data Management Practice Director $180-220k + bens Are you looking for a role with the opportunity to lead and,https://www.dice.com/jobs/detail/Practice-Director-%26%2345-Master-Data-Management-Search-BI-New-York-NY-10001/91061815/6259740
Director of Data Science,CyberCoders,"New York City, NY",2 days ago,"Minimum Required Skills: Machine Learning, Statistics, Management, analytics team management, Data Science, goal setting and follow...",https://www.dice.com/jobs/detail/Director-of-Data-Science-CyberCoders-New-York-City-NY-10001/cybercod/RS2%26%23451546738113
Data Engineer,SearchBourne Consulting Pvt Limited,"New York, NY",2 weeks ago,About the Company: They are an analytics service providing company. They provide market research and predictive analytics services and...,https://www.dice.com/jobs/detail/Data-Engineer-SearchBourne-Consulting-Pvt-Limited-New-York-NY-10001/91071148/6336044
Senior Data Engineer,Lawrence Harvey,"New York, NY",1 week ago,"Lawrence Harvey are currently partnered with one of the leading Real Estate firms in the world. With offices globally, they",https://www.dice.com/jobs/detail/Senior-Data-Engineer-Lawrence-Harvey-New-York-NY-10001/10333482/CW%26%2345SDENY
Data Engineer - Analytics,The Caldwell Group,"Nyc, NY",9 hours ago,Excellent opportunity for a Data Engineer to create next generation data and analytics solutions using state of the art technologies.,https://www.dice.com/jobs/detail/Data-Engineer-%26%2345-Analytics-The-Caldwell-Group-Nyc-NY-10001/caldwell/6260827
Data Science Engineer,The Digital Group,"New York City, NY",2 weeks ago,"Job Role: Data Science Engineer Location: NYC, NY and Princeton, NJ Job Description Summary: A well-rounded Data Science Engineer who",https://www.dice.com/jobs/detail/Data-Science-Engineer-The-Digital-Group-New-York-City-NY-10001/epeople/6331414
Senior Data Engineer - Remote,Kforce Technology Staffing,"New York, NY",9 hours ago,"RESPONSIBILITIES: Kforce has a client, a healthcare startup (a fast growing firm) in New York, NY that is seeking a",https://www.dice.com/jobs/detail/Senior-Data-Engineer-%26%2345-Remote-Kforce-Technology-Staffing-New-York-NY-10018/kforcecx/ITAQG1845222
Senior Software Engineer (Big Data),Harvey Nash Inc.,"Yonkers, NY",11 hours ago,"Key Responsibilities: Design, develop, implement, and test software modules and other technology components for consumerreports.org...",https://www.dice.com/jobs/detail/Senior-Software-Engineer-%28Big-Data%29-Harvey-Nash-Inc.-Yonkers-NY-10703/esi/1405%26%23451
Data Engineer (PySpark),Harvey Nash Inc.,"Yonkers, NY",11 hours ago,"Qualifications Include Master's degree in Computer Science or related fields with three years of relevant experience, or Bachelor's...",https://www.dice.com/jobs/detail/Data-Engineer-%28PySpark%29-Harvey-Nash-Inc.-Yonkers-NY-10703/esi/1494%26%23451
Senior Developer - Data Science,Gotham Technology,"New York, NY",17 hours ago,Large institutional alternative asset management client of ours in Midtown Manhattan is hiring their next Senior Developer-Data...,https://www.dice.com/jobs/detail/Senior-Developer-%26%2345-Data-Science-Gotham-Technology-New-York-NY-10001/10486491/NW%26%2345SDDS
Data Engineer - Python,CyberCoders,"New York, NY",2 days ago,"Minimum Required Skills: Python, SQL, PostgreSQL If you are a Data Engineer with Python experience, please read on! We are",https://www.dice.com/jobs/detail/Data-Engineer-%26%2345-Python-CyberCoders-New-York-NY-10001/cybercod/NS3%26%23451555966107
Data Analyst,"WinInfosys, Inc","New York City, NY",3 days ago,"Title : Data Analyst Location : New York City, NY Duration : 12+ Months Start date : ASAP Key skills",https://www.dice.com/jobs/detail/Data-Analyst-WinInfosys%2C-Inc-New-York-City-NY-10001/10198066/6346676
Data Governance SME,"Capgemini America, Inc.","New York, NY",2 weeks ago,"About Capgemini:- A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of...",https://www.dice.com/jobs/detail/Data-Governance-SME-Capgemini-America%2C-Inc.-New-York-NY-10001/KANBAY/6335493
Informatica Data Engineer,"Capgemini America, Inc.","New York, NY",4 days ago,"About Capgemini A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of...",https://www.dice.com/jobs/detail/Informatica-Data-Engineer-Capgemini-America%2C-Inc.-New-York-NY-10001/KANBAY/6346207
IT Data Modeler,Horizon Blue Cross Blue Shield of New Jersey,"Newark, NJ",7 hours ago,Job Summary: A data modeler builds data models that describe data and its relationships in a consistent way to support,https://www.dice.com/jobs/detail/IT-Data-Modeler-Horizon-Blue-Cross-Blue-Shield-of-New-Jersey-Newark-NJ-07101/10377082a/2019%26%2345302
Digital Risk Solutions - Data...,PwC,"New York, NY",9 hours ago,"A career in our SAP Risk Assurance practice, within Information Technology Risk Assurance services, will allow you to develop and",https://www.dice.com/jobs/detail/Digital-Risk-Solutions-%26%2345-Data-Governance-Manager-PwC-New-York-NY-10017/10104943/900803
"Data & Analytics, Engineer - Sr...",PwC,"New York, NY",9 hours ago,"A career in our Analytics Technology practice, within Data and Analytics Technology services, will provide you with the opportunity to",https://www.dice.com/jobs/detail/Data-%26-Analytics%2C-Engineer-%26%2345-Sr-Associate-%28Financial-Services%29-PwC-New-York-NY-10017/10104943/904747
Big Data Architecture Manager...,PwC,"New York, NY",9 hours ago,"A career in our Business Intelligence practice, within Data and Analytics Technology services, will provide you with the opportunity...",https://www.dice.com/jobs/detail/Big-Data-Architecture-Manager-%28Financial-Services%29-PwC-New-York-NY-10016/10104943/904751
"Architect, Big Data & Analytics -...",PwC,"New York, NY",9 hours ago,"A career in our Analytics Technology practice, within Data and Analytics Technology services, will provide you with the opportunity to",https://www.dice.com/jobs/detail/Architect%2C-Big-Data-%26-Analytics-%26%2345-Sr-Associate-%28Financial-Services%29-PwC-New-York-NY-10017/10104943/904743
Data Center Technical Solution...,"Cisco Systems, Inc.","Iselin, NJ",7 hours ago,"WHY YOU'LL LOVE CISCO WE CHANGE THE WORLD, YOU WILL BECOME PASSIONATE ABOUT YOUR EMPLOYER AND THE BRAND YOU REPRESENT.",https://www.dice.com/jobs/detail/Data-Center-Technical-Solution-Architect-Cisco-Systems%2C-Inc.-Iselin-NJ-08830/CXCISCO/1280780
Data & Analytics Engineer...,PwC,"New York, NY",9 hours ago,"A career in our Analytics Technology practice, within Data and Analytics Technology services, will provide you with the opportunity to",https://www.dice.com/jobs/detail/Data-%26-Analytics-Engineer-%28Financial-Services%29-PwC-New-York-NY-10017/10104943/904748
"Senior Manager, Data Center...","Cisco Systems, Inc.","New York, NY",7 hours ago,"Why You'll Love Cisco We change the World, we are passionate about our employer and the brand we represent. Everything",https://www.dice.com/jobs/detail/Senior-Manager%2C-Data-Center-Systems-Engineering-Cisco-Systems%2C-Inc.-New-York-NY-10001/CXCISCO/1282915
Python/Big data developer,"Capgemini America, Inc.","Jersey City, NJ",2 weeks ago,"About Capgemini A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of...",https://www.dice.com/jobs/detail/Python%26%2347Big-data-developer-Capgemini-America%2C-Inc.-Jersey-City-NJ-07097/KANBAY/6335524
Hadoop Big Data Software Engineer,JPMorgan Chase & Co.,"Jersey City, NJ",4 hours ago,"Senior, hands-on development who is passionate about technology and has experience developing systems built using Big Data tools; is a",https://www.dice.com/jobs/detail/Hadoop-Big-Data-Software-Engineer-JPMorgan-Chase-%26-Co.-Jersey-City-NJ-07310/10125746/190060780
Network Data Engineer,HCL America Inc.,New Jersey,8 hours ago,Qualification: Bachelors /Masters / Equivalent Key Skills Required: · Excellent Communication skills ( written & verbal)...,https://www.dice.com/jobs/detail/Network-Data-Engineer-HCL-America-Inc.-New-Jersey--07097/hcl001/624826BR
Enterprise Data Manager,ACA Compliance Group,"New York, NY",3 weeks ago,ACA Compliance Group ( ACA ) is a leading provider of risk management and technology solutions that focus on regulatory,https://www.dice.com/jobs/detail/Enterprise-Data-Manager-ACA-Compliance-Group-New-York-NY-10001/90902182/6304738
BI Data Modeler - Order to Cash...,Mondelez International,"Parsippany, NJ",45 minutes ago,"Mondel?z International, Inc. empowers people to snack right in over 150 countries around the world. We're leading the future of",https://www.dice.com/jobs/detail/BI-Data-Modeler-%26%2345-Order-to-Cash-and-Planning-Mondelez-International-Parsippany-NJ-07054/10507927/1912385
"Business Analyst, Data Operations...","NTT DATA, Inc.","New York, NY",moments ago,"Business Analyst, Data Operations and Analytics 6 months plus possible extensions NYC Please send resumes to Karen.Bigini@nttdata.com...",https://www.dice.com/jobs/detail/Business-Analyst%2C-Data-Operations-and-Analytics-NTT-DATA%2C-Inc.-New-York-NY-10001/misiny1/19%26%234513881
Data Engineer- Modeler,Atlantic Health System,"Morristown, NJ",2 weeks ago,"Data Engineer-Modeler Overview: Healthcare is an opportunity to utilize data assets including electronic medical records, population...",https://www.dice.com/jobs/detail/Data-Engineer%26%2345-Modeler-Atlantic-Health-System-Morristown-NJ-07960/athealth/00026729
Data Engineer,Open Systems Technologies,"Piscataway, NJ",4 days ago,"Our client is seeking a Data Engineer to join their team in Piscataway, NJ. Qualifications A Bachelor s degree or",https://www.dice.com/jobs/detail/Data-Engineer-Open-Systems-Technologies-Piscataway-NJ-08854/opensyst/132033
Senior / Lead Python Engineer -...,2 Bridge Partners,"New York, NY",13 hours ago,"2Bridge Partners has been engaged in the search for a direct-hire, full time, Software Engineer with a focus on Data",https://www.dice.com/jobs/detail/Senior-%26%2347-Lead-Python-Engineer-%26%2345-Data-Ops-2-Bridge-Partners-New-York-NY-10001/90827581/6233323
Professional Services Engineer -...,2 Bridge Partners,"New York, NY",13 hours ago,2Bridge Partners has been exclusively retained to find multiple Technical Professional Services Engineers to join our FinTech client....,https://www.dice.com/jobs/detail/Professional-Services-Engineer-%26%2345-SaaS-%26%2347-Data-Integration-2-Bridge-Partners-New-York-NY-10001/90827581/6316856
Data Engineer(Java & Python),Infostretch Corporation,"Nyc, NY",2 weeks ago,"Infostretch is a digital-first professional services firm. By combining in-depth experience with ready-made tools, frameworks,...",https://www.dice.com/jobs/detail/Data-Engineer%28Java-%26-Python%29-Infostretch-Corporation-Nyc-NY-10001/10228528/data_engineer
Solution Architect - Data Warehouse,Mondelez International,"Parsippany, NJ",45 minutes ago,"Mondelez International, Inc. empowers people to snack right in over 160 countries around the world. We re leading the future",https://www.dice.com/jobs/detail/Solution-Architect-%26%2345-Data-Warehouse-Mondelez-International-Parsippany-NJ-07054/10507927/1909696
"Director of Professional Services,...",CoEnterprise,"New York, NY",13 hours ago,Company Description CoEnterprise is an award-winning B2B software and professional services company headquartered in New York City....,https://www.dice.com/jobs/detail/Director-of-Professional-Services%2C-Data-Analytics-CoEnterprise-New-York-NY-10001/RTX186f7c/1261
Sr. Document Management DBA (Sr....,"Weil, Gotshal & Manges LLP","Brooklyn, NY",2 weeks ago,"Under the direct supervision of the Sr. Manager of Enterprise Data Systems, selected candidate will work directly with IS management",https://www.dice.com/jobs/detail/Sr.-Document-Management-DBA-%28Sr.-Engineer%2C-Enterprise-Data-Systems%29-Weil%2C-Gotshal-%26-Manges-LLP-Brooklyn-NY-11201/RTX1cd086/6331927
Junior Marketing Data Analyst,New York Life Insurance Company,"New York, NY",10 hours ago,"New York Life Investments (NYLIM), an indirect, wholly owned subsidiary of New York Life Insurance Company, is a top 25",https://www.dice.com/jobs/detail/Junior-Marketing-Data-Analyst-New-York-Life-Insurance-Company-New-York-NY-10001/10127844a/81601%26%2345en_US
Data Integration Specialist,"Paul, Weiss, Rifkind, Wharton & Garrison LLP","New York, NY",2 weeks ago,"Job Description Under the direction of the Financial Systems Director, the Data Integration Specialist is responsible for the...",https://www.dice.com/jobs/detail/Data-Integration-Specialist-Paul%2C-Weiss%2C-Rifkind%2C-Wharton-%26-Garrison-LLP-New-York-NY-10114/10120399/1210%26%2345159
Analyst - Data Engineer,New York Life Insurance Company,"New York, NY",10 hours ago,A career at New York Life offers many opportunities. To be part of a growing and successful business. To reach,https://www.dice.com/jobs/detail/Analyst-%26%2345-Data-Engineer-New-York-Life-Insurance-Company-New-York-NY-10001/10127844a/81522%26%2345en_US
Data Analyst - Quality & Safety,Memorial Sloan Kettering Cancer Center,"New York, NY",10 hours ago,"Company Overview At Memorial Sloan Kettering (MSK), we're not only changing the way we treat cancer, but also the way",https://www.dice.com/jobs/detail/Data-Analyst-%26%2345-Quality-%26amp%3B-Safety-Memorial-Sloan-Kettering-Cancer-Center-New-York-NY-10001/10118869/2019%26%234537915
Data Analytics Technical Consultant,CoEnterprise,"New York, NY",13 hours ago,Company Description CoEnterprise is an award-winning B2B software and professional services company headquartered in New York City....,https://www.dice.com/jobs/detail/Data-Analytics-Technical-Consultant-CoEnterprise-New-York-NY-10001/RTX186f7c/139W
BI/ETL DATA LEAD,Matlen Silver,"Jersey City, NJ",19 hours ago,"OPEN TO PENNINGTON, NJ AND JERSEY CITY NJ LOCATION ALSO Job Summary: Responsible for team level contributions to overall application",https://www.dice.com/jobs/detail/BI%26%2347ETL-DATA-LEAD-Matlen-Silver-Jersey-City-NJ-07097/matlenny/6341443
Data Center Technician,Insight,"New York City, NY",7 hours ago,"Requisition Number: 75793 As a Data Center Technician, you will enter a high-energy and tech savvy world. We are looking",https://www.dice.com/jobs/detail/Data-Center-Technician-Insight-New-York-City-NY-10001/40001004/75793
